Deal ID,Deal Name,Deal Stage,Pipeline,Amount,Close Date,Create Date,Deal Owner,Deal Type,Closed Lost Reason,Associated Company Domain,Associated Contact Email
DEAL-c8b496bd-e5af-47eb-b1bd-352b7375ad02,"Anderson, Garcia and Douglas - Existing Business Opportunity",Decision Maker Bought-In,Renewals Pipeline,8680.15,2025-08-18,2023-08-09,dwight.schrute@example.com,Existing Business,,rodriguez-rodriguez.com,yolanda80@example.org
DEAL-62389633-b2da-4fdb-8532-dc4d659b4f48,Thompson PLC - Existing Business Opportunity,Closed Lost,Sales Pipeline,123588.22,2024-01-13,2023-01-21,michael.scott@example.com,New Business,Product Fit,olson.com,michaelbell@example.com
DEAL-40b9ced7-a56c-4fb2-864b-feff8ecbb671,Griffith-Beard - New Business Opportunity,Contract Sent,Sales Pipeline,175785.35,2025-09-07,2024-09-15,pam.beesly@example.com,New Business,,brown.com,blewis@example.net
DEAL-400156ca-e15c-48f5-a9d1-1d1d52a195c7,Davis-Chang - New Business Opportunity,Appointment Scheduled,Renewals Pipeline,79002.76,2025-09-30,2023-03-04,jim.halpert@example.com,Existing Business,,holmes-navarro.biz,samantha74@example.org
DEAL-064444fa-fc91-4696-bf4f-21e050da5c4d,Fuentes LLC - Existing Business Opportunity,Contract Sent,Sales Pipeline,171187.94,2025-05-28,2024-12-20,angela.martin@example.com,New Business,,alexander.com,matthewcarr@example.org
DEAL-a0c357fa-8c85-4bfa-9e47-b0637555ee64,Chase-Snyder - Existing Business Opportunity,Closed Lost,Sales Pipeline,134952.86,2024-05-03,2023-07-19,dwight.schrute@example.com,New Business,Timing,hubbard.com,jenniferbryant@example.org
DEAL-4b1b10cc-4ac9-4495-b627-7c287bf768b8,"Kennedy, Lee and Kane - Existing Business Opportunity",Closed Lost,Renewals Pipeline,157771.94,2024-11-27,2024-03-25,michael.scott@example.com,Existing Business,Timing,petersen-scott.com,keith36@example.org
DEAL-29dcc21c-2954-4a70-94ef-57f6bead8330,"Kennedy, Lee and Kane - Existing Business Opportunity",Closed Lost,Renewals Pipeline,185396.05,2024-12-19,2023-09-26,pam.beesly@example.com,New Business,,petersen-scott.com,keith36@example.org
DEAL-46b8b16c-d714-462d-bbb8-f56fd3ba6d7a,Cruz Inc - Existing Business Opportunity,Closed Won,Renewals Pipeline,197288.97,2025-04-02,2025-01-11,jim.halpert@example.com,Existing Business,,flowers.net,john40@example.org
DEAL-a3ced376-2931-41a2-a9ef-ed4ea92bba98,Moreno-Jones - New Business Opportunity,Contract Sent,Sales Pipeline,86990.1,2025-06-08,2024-06-22,angela.martin@example.com,Existing Business,,rasmussen.com,paigestuart@example.net
DEAL-d69a740b-5393-4b1b-8eaf-ec7423edb1a4,Kelley-Johnson - Existing Business Opportunity,Closed Won,Sales Pipeline,11187.98,2025-04-12,2025-04-09,dwight.schrute@example.com,Existing Business,,martin.info,hawkinsjeffrey@example.org
DEAL-0d893337-8cf6-4666-9d9d-534506cde61b,Kelley-Johnson - New Business Opportunity,Presentation Scheduled,Renewals Pipeline,171950.15,2025-05-12,2024-03-27,michael.scott@example.com,New Business,,martin.info,gburns@example.net
DEAL-48b14078-4523-4030-aafe-67dc2368ad9b,Murphy PLC - New Business Opportunity,Contract Sent,Sales Pipeline,190260.99,2025-07-08,2023-11-07,pam.beesly@example.com,New Business,,chen-ramirez.com,riossamantha@example.org
DEAL-cdc57e63-a866-476d-9834-86344fa63c36,Mack Group - New Business Opportunity,Closed Won,Renewals Pipeline,170218.05,2025-04-04,2025-03-03,jim.halpert@example.com,Existing Business,,murphy.com,pfowler@example.com
DEAL-a9814d20-4891-458b-9f42-120f3c06f786,Zimmerman-Webb - Existing Business Opportunity,Closed Won,Sales Pipeline,18306.94,2023-11-19,2023-11-18,angela.martin@example.com,New Business,,thomas.com,dmiller@example.com
DEAL-042a2945-daa5-4385-a81f-a60762b85033,Long Group - New Business Opportunity,Appointment Scheduled,Sales Pipeline,185598.45,2025-07-04,2024-06-08,dwight.schrute@example.com,Existing Business,,frost.info,josephestrada@example.com
DEAL-4ec756ad-fab5-4748-8ad6-6e4969d38434,Fuentes LLC - Existing Business Opportunity,Closed Lost,Renewals Pipeline,115189.32,2025-01-29,2023-12-21,michael.scott@example.com,New Business,Lost Interest,alexander.com,matthewcarr@example.org
DEAL-2bf8627c-3036-457c-9c97-61f7a9bac8cc,Mccormick Group - Existing Business Opportunity,Presentation Scheduled,Sales Pipeline,155519.37,2025-07-21,2025-02-02,pam.beesly@example.com,Existing Business,,turner.com,elizabeth46@example.net
DEAL-1bf06568-045b-4b49-be84-0847f1d33893,"Conley, Delgado and Rodgers - Existing Business Opportunity",Closed Won,Renewals Pipeline,228621.65,2023-11-18,2023-05-12,jim.halpert@example.com,Existing Business,,bush-phillips.info,christopher92@example.com
DEAL-d0ac5f56-6575-419c-a648-b3aec89383b3,"Anderson, Garcia and Douglas - Existing Business Opportunity",Qualified to Buy,Renewals Pipeline,144882.11,2025-10-20,2023-11-07,angela.martin@example.com,New Business,,rodriguez-rodriguez.com,johnhess@example.org
DEAL-fbf76660-64ad-4391-bc73-b9b2c85bad8b,Howard and Sons - New Business Opportunity,Closed Lost,Sales Pipeline,143208.14,2025-03-24,2024-04-13,dwight.schrute@example.com,Existing Business,Competitor,rodriguez.biz,scottcathy@example.net
DEAL-8e8f61e5-e298-4fdf-9c6b-72208fb9e558,Jackson PLC - New Business Opportunity,Closed Lost,Sales Pipeline,92007.76,2025-04-25,2024-11-23,michael.scott@example.com,New Business,,delgado-acevedo.com,kathryn12@example.com
DEAL-96a9ecdd-b463-4bd0-87ea-a20d91a0a7ea,Martinez Ltd - New Business Opportunity,Qualified to Buy,Renewals Pipeline,217975.16,2025-06-06,2024-09-17,pam.beesly@example.com,New Business,,cantu.com,thomas23@example.org
DEAL-61116f5a-bb75-4d45-9fd3-1f7356916dfa,Simon Ltd - New Business Opportunity,Contract Sent,Sales Pipeline,37999.91,2025-10-13,2023-06-29,jim.halpert@example.com,Existing Business,,walker.com,william00@example.com
DEAL-996ed9f6-0249-45c4-925c-5e752876c14d,Wise-Rivera - Existing Business Opportunity,Decision Maker Bought-In,Sales Pipeline,145902.4,2025-10-09,2024-09-04,angela.martin@example.com,Existing Business,,morris-martinez.com,floydmichelle@example.org
DEAL-8042a73e-fe2f-4276-a79c-02d911995447,Gregory-Graham - Existing Business Opportunity,Closed Won,Renewals Pipeline,30264.14,2024-01-20,2023-07-12,dwight.schrute@example.com,Existing Business,,fowler.com,sferguson@example.com
DEAL-242c14a4-81ab-4598-8b80-2278280e4c62,"Jordan, Richardson and Schroeder - Existing Business Opportunity",Closed Won,Sales Pipeline,33084.35,2023-06-28,2023-03-02,michael.scott@example.com,New Business,,lucas-welch.com,amandalyons@example.com
DEAL-e29f652a-7c07-47bc-924d-0dda3216c2a1,"Trujillo, Alvarez and Scott - Existing Business Opportunity",Presentation Scheduled,Renewals Pipeline,57182.63,2025-10-20,2024-04-28,pam.beesly@example.com,Existing Business,,moore.net,ogrant@example.com
DEAL-6be494f2-019f-4f3b-8b68-6ad763fbe152,Snyder Inc - Existing Business Opportunity,Closed Won,Sales Pipeline,227770.43,2025-04-16,2024-06-29,jim.halpert@example.com,Existing Business,,murphy.info,javier74@example.net
DEAL-32aa35c9-1064-4b82-989d-4f5432de0ad5,"Velez, Jarvis and Warner - New Business Opportunity",Decision Maker Bought-In,Renewals Pipeline,158416.97,2025-09-26,2023-08-04,angela.martin@example.com,Existing Business,,lynn.com,ishaw@example.org
DEAL-425d4759-9622-4ac3-a718-c11a96fc411f,Gordon-Downs - New Business Opportunity,Closed Lost,Sales Pipeline,124746.77,2025-02-06,2023-11-13,dwight.schrute@example.com,New Business,,mann-solis.net,ucamacho@example.net
DEAL-69d2e5db-dbe1-4018-9f60-3ef026ebe5e4,"Taylor, Gray and Henderson - New Business Opportunity",Closed Won,Sales Pipeline,173095.41,2023-10-18,2023-03-21,michael.scott@example.com,New Business,,freeman.net,dianetaylor@example.com
DEAL-72b37ae2-92b2-4b40-8313-07c75bc729ad,"Davis, Hodges and Welch - Existing Business Opportunity",Qualified to Buy,Sales Pipeline,143513.8,2025-08-02,2024-06-13,pam.beesly@example.com,New Business,,medina-williams.com,ashley77@example.net
DEAL-317b2bc2-76a0-4022-8534-b90c72c35313,Fuentes LLC - New Business Opportunity,Presentation Scheduled,Sales Pipeline,15169.38,2025-06-12,2023-08-07,jim.halpert@example.com,New Business,,alexander.com,danielschneider@example.com
DEAL-dfc1d593-0b45-4d00-8dd8-d96d4c685f58,Ray-Martin - Existing Business Opportunity,Decision Maker Bought-In,Sales Pipeline,104373.34,2025-10-28,2023-01-16,angela.martin@example.com,New Business,,clarke.org,robertmontgomery@example.net
DEAL-42bb7bf1-c982-4be0-8f44-117ee97d2554,Adams-Thomas - Existing Business Opportunity,Closed Won,Sales Pipeline,71310.78,2025-03-01,2025-01-12,dwight.schrute@example.com,Existing Business,,wright.com,ybrooks@example.org
DEAL-d10985f3-de23-4d25-a084-0b9d7bc4e571,Morales-Clark - Existing Business Opportunity,Contract Sent,Renewals Pipeline,168479.47,2025-08-01,2025-04-02,michael.scott@example.com,Existing Business,,griffin-cobb.com,frankwalsh@example.com
DEAL-1dd71fc8-84d1-44a6-a541-8aba5e543e47,Yu-Williams - Existing Business Opportunity,Contract Sent,Renewals Pipeline,163168.11,2025-08-11,2025-03-29,pam.beesly@example.com,Existing Business,,johnson-simmons.com,tmcgee@example.com
DEAL-91e11397-a428-4d0f-9cbb-ee6f69ea1021,Smith-Mcintyre - Existing Business Opportunity,Closed Lost,Sales Pipeline,174085.62,2023-07-07,2023-06-02,jim.halpert@example.com,Existing Business,Product Fit,lane.com,joshuagraham@example.org
DEAL-2d219312-c5e9-410a-b644-395545257af0,Smith-Mcintyre - New Business Opportunity,Contract Sent,Renewals Pipeline,131484.88,2025-07-31,2023-05-04,angela.martin@example.com,Existing Business,,lane.com,elizabethgraham@example.com
DEAL-9d4b2d41-8525-4280-9fe9-e274c4e01e2d,"Schultz, Kennedy and Wong - New Business Opportunity",Qualified to Buy,Renewals Pipeline,95742.54,2025-07-01,2023-08-28,dwight.schrute@example.com,New Business,,watson.net,crystalcampbell@example.org
DEAL-f4318109-506c-421a-a136-c5d686b14ffd,Washington-Patton - New Business Opportunity,Closed Won,Renewals Pipeline,145737.44,2024-09-13,2023-05-10,michael.scott@example.com,Existing Business,,horne-chavez.com,jbenton@example.com
DEAL-5c8d0de6-1aa9-40d5-a7e2-30d64292f9b5,"Curtis, Lucas and Arias - Existing Business Opportunity",Closed Lost,Renewals Pipeline,118291.58,2024-04-29,2023-09-23,pam.beesly@example.com,Existing Business,Price,freeman-jones.com,sloanbrian@example.org
DEAL-12bbdaab-97de-4009-9cd9-f9899cf40130,"Scott, Murray and Thomas - New Business Opportunity",Appointment Scheduled,Renewals Pipeline,38368.1,2025-08-21,2024-05-03,jim.halpert@example.com,Existing Business,,santiago-aguilar.com,jeremy62@example.org
DEAL-194cbe8e-7cc5-4d6a-9723-d3abf3a8b4d6,"Dodson, Carey and Larsen - New Business Opportunity",Appointment Scheduled,Renewals Pipeline,215142.0,2025-10-24,2024-01-14,angela.martin@example.com,Existing Business,,ross.com,iallen@example.net
DEAL-158a80b0-2073-4d8d-a738-7c7f56c6d64f,Preston-Shea - Existing Business Opportunity,Qualified to Buy,Renewals Pipeline,39863.52,2025-05-31,2024-02-07,dwight.schrute@example.com,Existing Business,,mclean-ryan.com,charlesphillips@example.net
DEAL-cf65c96b-bdea-43f1-af72-9964d1694ea5,"Klein, Ford and Oliver - New Business Opportunity",Closed Won,Renewals Pipeline,218166.76,2024-11-06,2024-03-19,michael.scott@example.com,Existing Business,,miller-benitez.com,kenneth43@example.net
DEAL-b205ccc2-3355-4269-a784-6423734f358d,"Jones, Johnson and Morgan - New Business Opportunity",Appointment Scheduled,Renewals Pipeline,222147.85,2025-07-23,2024-10-17,pam.beesly@example.com,New Business,,padilla-reyes.com,lromero@example.com
DEAL-49664658-131f-4538-92f9-d507625868b8,Vasquez-Robinson - New Business Opportunity,Contract Sent,Renewals Pipeline,209319.13,2025-10-05,2023-01-25,jim.halpert@example.com,New Business,,brady-harris.info,derekanderson@example.org
DEAL-44828e33-f681-4c00-b190-d8062c07391f,Henson LLC - New Business Opportunity,Qualified to Buy,Sales Pipeline,123494.34,2025-08-26,2023-08-19,angela.martin@example.com,Existing Business,,shepard.com,brianjenkins@example.org
DEAL-d1b8b878-fb63-44e4-8e26-356c3955b9c7,"Lamb, Garcia and Obrien - New Business Opportunity",Contract Sent,Sales Pipeline,140897.62,2025-07-22,2023-01-05,dwight.schrute@example.com,Existing Business,,galvan.org,stonelevi@example.net
DEAL-400662da-742e-41be-8b7a-c22cd097279b,Hall-Richmond - Existing Business Opportunity,Closed Lost,Sales Pipeline,247120.37,2025-04-23,2025-04-12,michael.scott@example.com,Existing Business,Lost Interest,johnson.net,rschwartz@example.org
DEAL-261ed763-7d59-4dbb-96fb-8b8c3509951a,Mills Inc - New Business Opportunity,Closed Lost,Renewals Pipeline,123659.1,2025-01-07,2024-11-07,pam.beesly@example.com,Existing Business,Competitor,perkins-davis.net,andrew27@example.net
DEAL-dd9bf198-143d-401f-944b-5267c593b938,Zimmerman-Webb - New Business Opportunity,Qualified to Buy,Renewals Pipeline,57162.97,2025-10-04,2024-03-09,jim.halpert@example.com,Existing Business,,thomas.com,ann80@example.org
DEAL-2ec0ace0-49c0-491c-b048-b2fc2afde9ca,Cruz Inc - Existing Business Opportunity,Qualified to Buy,Renewals Pipeline,173736.32,2025-10-18,2024-06-06,angela.martin@example.com,Existing Business,,flowers.net,john40@example.org
DEAL-2c9be650-1254-4c52-b6ae-1d6ab02e8d04,Hurst Ltd - New Business Opportunity,Closed Won,Renewals Pipeline,197459.98,2024-12-30,2024-12-15,dwight.schrute@example.com,Existing Business,,harris.com,karen28@example.com
DEAL-3bf25981-c137-406d-8ac8-30c20a7d5604,Preston-Vasquez - Existing Business Opportunity,Qualified to Buy,Sales Pipeline,229254.38,2025-06-12,2023-08-20,michael.scott@example.com,New Business,,campbell.com,salaspeter@example.org
DEAL-2b9be103-1f80-47fb-b1dd-86ec06a47fd0,Dennis-Reyes - Existing Business Opportunity,Contract Sent,Renewals Pipeline,188519.2,2025-09-05,2025-02-15,pam.beesly@example.com,New Business,,reese.com,mclaughlintyler@example.com
DEAL-a11981e7-bbd8-4d55-8942-515520f45742,Henson LLC - New Business Opportunity,Presentation Scheduled,Renewals Pipeline,8078.86,2025-08-27,2023-06-15,jim.halpert@example.com,New Business,,shepard.com,tuckerdaniel@example.org
DEAL-2bbede32-abdb-4c86-928a-c51e4b6b87fa,Howard and Sons - New Business Opportunity,Contract Sent,Renewals Pipeline,242373.18,2025-09-04,2024-07-02,angela.martin@example.com,Existing Business,,rodriguez.biz,andrewgreen@example.org
DEAL-41a864f7-c18f-4821-abde-a340b8b5eb41,Griffith-Beard - Existing Business Opportunity,Qualified to Buy,Renewals Pipeline,211909.21,2025-05-19,2024-08-30,dwight.schrute@example.com,New Business,,brown.com,eric82@example.com
DEAL-ed779a94-b8fc-476d-a664-4fceb289aa59,"Watson, Stewart and Curtis - Existing Business Opportunity",Decision Maker Bought-In,Sales Pipeline,10916.56,2025-05-27,2025-02-01,michael.scott@example.com,New Business,,perez-joseph.com,michael02@example.net
DEAL-0fd2d3b7-5bad-490c-8ad8-9eaf92326225,"Murphy, Steele and Velazquez - New Business Opportunity",Qualified to Buy,Sales Pipeline,233282.36,2025-06-08,2023-07-12,pam.beesly@example.com,Existing Business,,suarez.info,lewismelanie@example.net
DEAL-b8f5bcaf-05a8-4801-8b53-f370a8fc7709,Garcia-Garcia - Existing Business Opportunity,Appointment Scheduled,Renewals Pipeline,238476.35,2025-08-19,2023-09-06,jim.halpert@example.com,New Business,,alvarez.org,jburgess@example.com
DEAL-936a270d-2101-4da8-8cd7-2eb49ec442fd,Briggs-Wise - New Business Opportunity,Decision Maker Bought-In,Sales Pipeline,56460.29,2025-09-02,2023-07-20,angela.martin@example.com,Existing Business,,robles-ware.info,joshua04@example.net
DEAL-bbdb26f8-7c15-476a-b794-78aac7a8bd72,Salinas-Johnson - New Business Opportunity,Presentation Scheduled,Sales Pipeline,122377.07,2025-06-23,2025-04-30,dwight.schrute@example.com,Existing Business,,henderson-leach.com,cshannon@example.com
DEAL-c75982a0-38de-4bd6-a781-8a3656b78eec,Wise-Rivera - New Business Opportunity,Contract Sent,Sales Pipeline,128747.55,2025-07-19,2024-08-07,michael.scott@example.com,New Business,,morris-martinez.com,floydmichelle@example.org
DEAL-a2fe9826-62a1-4ed0-964a-a6835b96bc16,Simmons Group - New Business Opportunity,Closed Won,Renewals Pipeline,35438.27,2023-08-21,2023-01-24,pam.beesly@example.com,New Business,,tran-bird.com,hughesclaudia@example.org
DEAL-a0fbde48-3bfa-476e-b86a-f31704bf5456,"Velasquez, Gibson and Knox - New Business Opportunity",Decision Maker Bought-In,Sales Pipeline,78455.06,2025-07-17,2023-05-11,jim.halpert@example.com,Existing Business,,ortiz.com,hamiltonterri@example.net
DEAL-c1db0b9e-811a-4c8c-b7e3-8ad98e894203,Moreno-Jones - New Business Opportunity,Closed Won,Renewals Pipeline,84533.05,2024-03-09,2023-11-30,angela.martin@example.com,New Business,,rasmussen.com,ericaguilar@example.com
DEAL-64a0c701-7495-4054-942a-ea7eb3295ebb,"Jordan, Richardson and Schroeder - Existing Business Opportunity",Presentation Scheduled,Renewals Pipeline,217995.84,2025-07-18,2025-02-07,dwight.schrute@example.com,Existing Business,,lucas-welch.com,barnescarla@example.org
DEAL-42c2aa80-5895-4d24-907d-6f457e59eb21,Zimmerman-Webb - New Business Opportunity,Presentation Scheduled,Renewals Pipeline,30014.84,2025-07-03,2024-03-31,michael.scott@example.com,New Business,,thomas.com,timothy34@example.org
DEAL-0ae51ba3-7a8c-4327-b0f3-99cc4f819ebe,Kirby Ltd - Existing Business Opportunity,Presentation Scheduled,Renewals Pipeline,223078.42,2025-10-06,2023-03-21,pam.beesly@example.com,Existing Business,,lewis-jones.com,williamscott@example.net
DEAL-b6f6f77c-402c-4c0d-94a8-ebfa26fa477a,"Beard, Watson and Murphy - Existing Business Opportunity",Decision Maker Bought-In,Renewals Pipeline,55516.28,2025-07-08,2023-12-10,jim.halpert@example.com,New Business,,koch.com,heather92@example.net
DEAL-adf16b2e-6020-4cfd-b4ff-705158c53ee1,"Wright, Campbell and Evans - New Business Opportunity",Decision Maker Bought-In,Sales Pipeline,61571.42,2025-06-13,2023-03-01,angela.martin@example.com,Existing Business,,davis.com,jamesholder@example.net
DEAL-fcdf7163-e977-4c76-9057-b8605cd36586,Charles-Fox - Existing Business Opportunity,Closed Won,Sales Pipeline,17401.84,2025-02-14,2025-01-08,dwight.schrute@example.com,Existing Business,,watkins-miller.biz,leblancnicholas@example.org
DEAL-2c9c8cc4-44ed-4bfb-bf00-fe52011b7ac4,Dennis-Reyes - Existing Business Opportunity,Qualified to Buy,Sales Pipeline,63602.35,2025-10-06,2024-02-11,michael.scott@example.com,Existing Business,,reese.com,mclaughlintyler@example.com
DEAL-d2e6a983-498f-4a74-b08e-c8768ab4ceb5,Hurst Ltd - New Business Opportunity,Closed Lost,Sales Pipeline,149801.85,2025-04-28,2025-04-11,pam.beesly@example.com,New Business,Price,harris.com,gwilliams@example.org
DEAL-76ca26f7-8702-4f69-8bb6-88575cebc69f,"Velasquez, Gibson and Knox - Existing Business Opportunity",Appointment Scheduled,Renewals Pipeline,117317.79,2025-10-04,2023-10-09,jim.halpert@example.com,New Business,,ortiz.com,hamiltonterri@example.net
DEAL-14e53ad8-4e29-44b7-843e-516738947551,Arnold-Summers - New Business Opportunity,Qualified to Buy,Renewals Pipeline,128138.69,2025-08-07,2024-09-21,angela.martin@example.com,New Business,,fernandez.com,wandascott@example.com
DEAL-a0e5fac1-9f40-4463-95bc-cf31d7133be8,Massey Inc - New Business Opportunity,Qualified to Buy,Sales Pipeline,153048.03,2025-09-12,2024-09-09,dwight.schrute@example.com,Existing Business,,wilson.biz,ejohnson@example.net
DEAL-14a3c022-d001-4c65-8105-888f92c5f84e,Smith Inc - New Business Opportunity,Contract Sent,Sales Pipeline,155013.76,2025-05-29,2024-12-30,michael.scott@example.com,Existing Business,,williams.com,mlarson@example.org
DEAL-fd64739c-9788-4cb4-8789-fe41c485736c,"Bailey, Walters and Lewis - Existing Business Opportunity",Qualified to Buy,Renewals Pipeline,207149.03,2025-09-01,2023-02-26,pam.beesly@example.com,Existing Business,,barker.com,brett77@example.org
DEAL-1a723461-5fb8-44a7-99ea-57ad43139c73,"Conley, Delgado and Rodgers - Existing Business Opportunity",Presentation Scheduled,Sales Pipeline,160888.97,2025-07-15,2023-07-13,jim.halpert@example.com,New Business,,bush-phillips.info,halllindsay@example.org
DEAL-f105ba02-a04a-47df-8786-cc22e4c1e707,Fuentes LLC - Existing Business Opportunity,Qualified to Buy,Sales Pipeline,182204.67,2025-08-09,2023-08-06,angela.martin@example.com,New Business,,alexander.com,frank78@example.net
DEAL-084e520e-eb42-4d21-a586-1748db92b4a4,Griffith-Beard - New Business Opportunity,Decision Maker Bought-In,Sales Pipeline,77729.66,2025-10-29,2023-01-04,dwight.schrute@example.com,Existing Business,,brown.com,eric82@example.com
