Activity ID,Activity Type,Activity Date,Activity Owner,Notes/Description,Call/Meeting Title/Subject,Call Outcome,Meeting Outcome,Task Status,Task Due Date,Associated Contact Email
ACT-e53625db-a227-4132-bf9f-ef1883e02326,Task,2023-05-11,kevin.malone@example.com,Agreement bank child raise.,Follow up task for contact jennifer20@example.com,,,Not Started,2025-05-15,jennifer20@example.com
ACT-bf66582a-62ab-4e6a-afbe-e07699bfbeee,Task,2022-04-28,jim.halpert@example.com,Green own fall.,Follow up task for contact youngbrian@example.org,,,,2025-05-08,youngbrian@example.org
ACT-76682e43-ea60-4870-83af-7b72a8953918,Email,2024-03-21,dwight.schrute@example.com,Throw as through perform food charge. Many language pass heart fight establish meet cold.,,,,,,marvin15@example.net
ACT-e1a140dd-200b-4976-9950-fc636c7ac46c,Meeting,2024-07-29,angela.martin@example.com,Environmental ten choose baby well once natural event.,Meeting regarding contact molinalaura@example.net,,Rescheduled,,,molinalaura@example.net
ACT-46776514-585d-4977-9d9c-317ec4b51ca3,Call,2024-02-15,jim.halpert@example.com,Side near use keep would stock.,Call with contact abenitez@example.com,Wrong Number,,,,abenitez@example.com
ACT-6fad454c-3827-4fcf-8559-bf2e0880b1e9,Call,2023-10-23,kevin.malone@example.com,Tax follow discuss voice story well.,Call with contact christopher21@example.com,Left Voicemail,,,,christopher21@example.com
ACT-8a8126ef-a608-4e4a-b48e-89dfb9650c3d,Note,2023-03-25,angela.martin@example.com,Else cost field. Lawyer question look conference probably moment.,,,,,,garciadavid@example.com
ACT-179d646a-131a-4cd4-8345-f6220104825f,Meeting,2023-04-02,michael.scott@example.com,Enough tough cost success ground.,Meeting regarding contact pbrown@example.net,,,,,pbrown@example.net
ACT-7f24ae29-58c0-461f-8623-d6fe38cc386a,Meeting,2024-04-27,oscar.martinez@example.com,Push bed major behavior history character.,Meeting regarding contact njohnson@example.com,,Cancelled,,,njohnson@example.com
ACT-b9c59ec1-b246-4a7d-b506-67a7cddc90a2,Email,2024-04-12,dwight.schrute@example.com,Market cover citizen member buy local far.,,,,,,anthony60@example.org
ACT-d97efab9-66fa-4e16-94eb-6d8a4848057c,Call,2025-04-12,jim.halpert@example.com,Firm own quite since point try.,Call with contact lauriebush@example.net,Connected,,,,lauriebush@example.net
ACT-deddc384-aaf9-47f5-893e-24f54161536d,Note,2022-07-10,angela.martin@example.com,Floor American provide if conference if their.,,,,,,rjones@example.net
ACT-7882af6c-cc18-46e3-8d79-58d718f0193f,Meeting,2022-01-03,angela.martin@example.com,Box art a.,Meeting regarding contact anna72@example.net,,Cancelled,,,anna72@example.net
ACT-cbbdcaef-eee5-47a5-9f50-67759e36bc92,Note,2022-03-30,kevin.malone@example.com,Peace surface cost oil early. Effect natural prepare lead.,,,,,,tevans@example.net
ACT-e69651b9-cf63-40f5-86d8-d6ea8e5a6b20,Note,2024-09-21,pam.beesly@example.com,Concern college particularly relate eat. Issue save national house.,,,,,,johnray@example.net
ACT-00f5b265-fec8-4fd0-8e94-ee041d5ae4ff,Meeting,2023-08-26,angela.martin@example.com,Tree road seat gun.,Meeting regarding contact vtucker@example.net,,Cancelled,,,vtucker@example.net
ACT-59243395-b44f-4505-baa4-a153be5af548,Meeting,2022-09-14,dwight.schrute@example.com,Field recent best security pressure rich.,Meeting regarding contact madeline40@example.net,,Scheduled,,,madeline40@example.net
ACT-6c48b831-9d6e-4be0-9e49-18bedc450d0c,Note,2023-01-10,kevin.malone@example.com,Make with behind different final always occur agreement.,,,,,,odowns@example.com
ACT-10b371ec-f943-4018-a5a4-e19759f4946e,Note,2023-10-09,angela.martin@example.com,Book indeed character me red recent. Check security wind southern.,,,,,,lisachapman@example.org
ACT-f11086a4-ca19-4ff1-b968-9ac487890886,Email,2025-02-11,pam.beesly@example.com,Eight management population. Support establish do purpose source imagine before.,,,,,,kjohnson@example.net
ACT-1fa0a8ae-44e0-4464-be26-df0a137fcb9b,Meeting,2023-05-07,jim.halpert@example.com,Material while interesting some quickly teach.,Meeting regarding contact gcurtis@example.net,,No Show,,,gcurtis@example.net
ACT-9a41d61e-1f88-46af-9f22-0608e6cfebce,Call,2022-09-08,oscar.martinez@example.com,Yourself third respond person hand.,Call with contact yvonnebailey@example.org,Wrong Number,,,,yvonnebailey@example.org
ACT-f6c34d47-6249-40bc-96e5-9c345c46ff9c,Task,2024-10-29,dwight.schrute@example.com,Think image quickly whatever production.,Follow up task for contact james22@example.org,,,,2025-05-11,james22@example.org
ACT-7ef02ef8-a0d4-40af-a2b0-4f16d1999c00,Call,2024-08-17,kevin.malone@example.com,Middle magazine benefit whatever.,Call with contact benjamin03@example.com,No Answer,,,,benjamin03@example.com
ACT-e219866d-28c1-4be1-8b42-d2f367ba4268,Task,2024-02-22,jim.halpert@example.com,Miss may sit hour.,Follow up task for contact blake98@example.net,,,In Progress,2025-05-11,blake98@example.net
ACT-097c397d-58bf-4f2a-b15e-6571a29d5473,Email,2022-08-20,angela.martin@example.com,Front else loss second.,,,,,,ihughes@example.net
ACT-5dc515c9-3f75-4f0e-a044-84f2f12a5b9f,Call,2022-02-06,jim.halpert@example.com,Arm hear surface process answer economic eight.,Call with contact robertscott@example.com,Left Voicemail,,,,robertscott@example.com
ACT-ce901586-52bc-4baa-b860-a434c2d99736,Email,2024-05-27,oscar.martinez@example.com,Identify type arm must smile. Discover fish hear throughout cut current evening TV.,,,,,,laura16@example.com
ACT-43598e06-0788-4ed4-b9ec-dc3af3e2537f,Task,2022-04-29,jim.halpert@example.com,Raise short radio little nice simply over.,Follow up task for contact rachelpeck@example.org,,,Completed,,rachelpeck@example.org
ACT-b008bac4-dd2c-4e4c-9e04-c59554b0fefb,Meeting,2022-07-27,angela.martin@example.com,Small fish itself crime.,Meeting regarding contact qjenkins@example.net,,Scheduled,,,qjenkins@example.net
ACT-8b4812b1-952d-41b2-ba77-b19a0ff9a11f,Task,2022-05-25,jim.halpert@example.com,Bar defense able mention describe.,Follow up task for contact sdominguez@example.net,,,In Progress,2025-05-23,sdominguez@example.net
ACT-f43c478d-d65f-4f10-be85-285914eed911,Task,2022-12-09,jim.halpert@example.com,Vote glass health adult protect out daughter.,Follow up task for contact william22@example.net,,,,2025-06-01,william22@example.net
ACT-b6f2ced0-9162-4d50-83a8-62aee5506000,Note,2025-02-06,kevin.malone@example.com,Bad power senior tell.,,,,,,afernandez@example.org
ACT-d16d2124-dc24-4e1c-919a-8bf3ed1eb9b0,Call,2023-01-27,pam.beesly@example.com,Left term yourself must back itself everything.,Call with contact frank78@example.net,Wrong Number,,,,frank78@example.net
ACT-3c62ff41-4877-4e8f-bd91-ebec580881a3,Note,2022-10-26,pam.beesly@example.com,Name best head record growth.,,,,,,rachelpeck@example.org
ACT-7fceca12-e66a-4186-8444-1323bf2ae1ab,Task,2025-04-06,kevin.malone@example.com,Consider sense answer recent draw.,Follow up task for contact madisoncollier@example.com,,,Completed,,madisoncollier@example.com
ACT-e2e5bddb-1738-4fc2-9416-f032c1f626bc,Task,2022-05-04,michael.scott@example.com,Attorney must back act young subject build.,Follow up task for contact cpatton@example.net,,,Completed,,cpatton@example.net
ACT-5b3ba0f2-a178-467b-8845-342e2869360f,Task,2024-07-01,angela.martin@example.com,Late cover about either.,Follow up task for contact garciadavid@example.com,,,Completed,,garciadavid@example.com
ACT-9296e3f1-1f42-45e9-a9b9-38db938e2564,Note,2022-03-02,dwight.schrute@example.com,Follow meet outside yeah.,,,,,,edickson@example.org
ACT-849d4c01-238f-4235-8b25-7ceae1572c72,Task,2023-05-19,oscar.martinez@example.com,Analysis notice why.,Follow up task for contact paigestuart@example.net,,,,2025-05-11,paigestuart@example.net
ACT-c874e846-352f-4530-b317-bcf98f842232,Task,2023-02-18,kevin.malone@example.com,Result kind leader both week.,Follow up task for contact rjimenez@example.org,,,Not Started,2025-06-01,rjimenez@example.org
ACT-f02d28fb-3373-4337-b79c-d5d0c07b3cca,Email,2024-10-18,oscar.martinez@example.com,Population lose physical institution bed example adult. Read line hour church water show improve.,,,,,,catherine82@example.org
ACT-306ebb09-e107-4e82-b7ac-14ca9b2ed4b4,Call,2024-04-12,kevin.malone@example.com,Education reveal series sure.,Call with contact mitchell50@example.org,,,,,mitchell50@example.org
ACT-f7e4931a-5c7e-4850-a5c9-196ce38318e6,Email,2024-11-05,michael.scott@example.com,Seek response memory sure. Agency during support.,,,,,,vjones@example.com
ACT-fb86acd6-b096-4e0e-b7a0-9dbf845a2397,Task,2023-03-27,kevin.malone@example.com,Be authority out left citizen explain class.,Follow up task for contact hunter38@example.com,,,Waiting,2025-05-23,hunter38@example.com
ACT-22fb58d5-59c9-42ac-8a4d-6da09ceccaf0,Note,2023-06-30,oscar.martinez@example.com,Course dream least become side administration ball.,,,,,,jessicacastaneda@example.org
ACT-9684fe8c-57ac-4ed7-acde-4506f134a356,Meeting,2023-11-11,michael.scott@example.com,Score fact south around fish such.,Meeting regarding contact padilladennis@example.net,,Completed,,,padilladennis@example.net
ACT-f0366ea0-2b66-4e7a-8d10-1a0e844364ca,Note,2025-05-01,dwight.schrute@example.com,Past change determine. Focus agree year value school man each energy.,,,,,,laura97@example.com
ACT-bbb54639-01dd-492d-86d6-7389133624ba,Meeting,2024-08-30,michael.scott@example.com,Service approach least.,Meeting regarding contact philip34@example.com,,Scheduled,,,philip34@example.com
ACT-89dbd69b-087b-474e-9cc0-ec7b481a2c13,Meeting,2024-02-14,pam.beesly@example.com,At respond energy government different.,Meeting regarding contact ljohnson@example.org,,,,,ljohnson@example.org
ACT-83ebd4f6-1f95-4348-a8ee-17a14e2bd3b5,Note,2022-06-16,michael.scott@example.com,Strong free prepare already behind anything. General well son happy attack bad floor.,,,,,,dunnjoy@example.net
ACT-9b9e8be5-8f8b-4fb1-9088-06fcba73acfc,Note,2022-01-31,pam.beesly@example.com,Brother interest plant seek. No American air trial.,,,,,,john77@example.com
ACT-4d3b4628-779e-4b9c-881a-cd416dc43032,Meeting,2024-05-19,jim.halpert@example.com,Candidate material analysis few.,Meeting regarding contact alex66@example.com,,Scheduled,,,alex66@example.com
ACT-683f6d42-52cc-4843-a18f-395b720935c4,Meeting,2025-04-17,michael.scott@example.com,Less well animal son hospital political while.,Meeting regarding contact katelynpayne@example.net,,,,,katelynpayne@example.net
ACT-7f9dcaf9-54b3-405c-979d-5c4cb1134283,Task,2022-12-20,pam.beesly@example.com,Oil him why difficult true.,Follow up task for contact john79@example.net,,,Waiting,2025-05-10,john79@example.net
ACT-f066b5e4-8bfb-4c62-a7bb-0c5e60585203,Note,2024-07-25,kevin.malone@example.com,Wind accept kid challenge local respond.,,,,,,bmartinez@example.com
ACT-35a61d90-0683-44f3-85a8-bfccdc2ba4c8,Meeting,2023-06-12,pam.beesly@example.com,Owner example today reveal subject throughout least.,Meeting regarding contact ecastaneda@example.org,,Cancelled,,,ecastaneda@example.org
ACT-43c76a79-5d45-4eb8-a8dd-0efeb8e5f7b6,Meeting,2024-06-29,angela.martin@example.com,Allow contain carry.,Meeting regarding contact jhernandez@example.com,,Scheduled,,,jhernandez@example.com
ACT-641425e4-4201-4bf6-a1c3-1f32f8065881,Task,2023-01-21,oscar.martinez@example.com,Chair level five today because new speech.,Follow up task for contact danielsmichael@example.net,,,Not Started,2025-05-08,danielsmichael@example.net
ACT-fcaefaa3-76e1-4a4a-abed-951dbad19de5,Task,2023-02-07,angela.martin@example.com,Body improve five time public produce practice.,Follow up task for contact qbutler@example.com,,,Waiting,2025-05-27,qbutler@example.com
ACT-550c41ee-c45f-4d24-a38b-67ffc78de8e1,Note,2023-04-27,oscar.martinez@example.com,Article police follow by write above onto. Could relate of suddenly rich add production.,,,,,,megan14@example.com
ACT-3efaf6c8-fb59-4072-a5b6-aff46473ca8b,Email,2023-06-04,jim.halpert@example.com,Majority by number far. South attorney letter.,,,,,,daniellehunt@example.org
ACT-e187a059-c82d-4cd2-a5b4-f28ef02c56a6,Call,2023-02-03,kevin.malone@example.com,Dinner evidence difficult agree reality.,Call with contact tcampbell@example.com,No Answer,,,,tcampbell@example.com
ACT-dfe1fe9e-7cae-4c6e-87b5-9f20c33d0146,Meeting,2023-04-15,dwight.schrute@example.com,Area more ready who thing.,Meeting regarding contact taratorres@example.org,,No Show,,,taratorres@example.org
ACT-317985c6-1e5e-477f-8ccf-78405eb8ee5d,Call,2023-12-08,dwight.schrute@example.com,None no life event.,Call with contact hallheather@example.com,Connected,,,,hallheather@example.com
ACT-0329ae79-f9df-4a14-bd0f-7d54c431bb7e,Meeting,2024-07-31,jim.halpert@example.com,Protect move question authority sense employee yet.,Meeting regarding contact houstonjames@example.org,,,,,houstonjames@example.org
ACT-c17a022a-9011-4757-ad57-10b043f73df9,Note,2023-01-02,jim.halpert@example.com,American again try protect.,,,,,,edwardsdarrell@example.com
ACT-eb8b1382-e4dc-4781-905f-d5da377550a2,Email,2024-06-01,kevin.malone@example.com,Say yard performance three thousand former hospital. Billion you interest the hard.,,,,,,coryfrazier@example.org
ACT-c0bcbfd4-d947-4f9a-83e7-96147179fe1b,Call,2022-03-09,jim.halpert@example.com,Cover really other debate many.,Call with contact annettefritz@example.org,No Answer,,,,annettefritz@example.org
ACT-e48fae2e-b0c6-43f9-b907-58a6ecfb08c2,Task,2022-06-17,michael.scott@example.com,Create few open run seven rich situation.,Follow up task for contact rhondajordan@example.com,,,Not Started,2025-05-15,rhondajordan@example.com
ACT-88bf3bd9-d110-4e44-9c82-9932d2e1fd61,Call,2022-10-04,pam.beesly@example.com,Life field anything possible remember.,Call with contact christopher85@example.org,Connected,,,,christopher85@example.org
ACT-d438c8d2-3c4b-40b9-ba93-50439feff520,Note,2024-09-21,angela.martin@example.com,Prove democratic while security. Above sport realize daughter.,,,,,,xchaney@example.com
ACT-a965643b-53cb-4bba-8f47-9605e2d448aa,Meeting,2023-05-08,angela.martin@example.com,Low mind officer thing.,Meeting regarding contact andrewhill@example.net,,Rescheduled,,,andrewhill@example.net
ACT-8825bdd8-7c48-4c2f-8002-21bf986ff35b,Task,2024-04-12,jim.halpert@example.com,Safe girl require training like mouth can.,Follow up task for contact kelly69@example.org,,,Not Started,2025-05-10,kelly69@example.org
ACT-69a8dc34-5324-4807-aeed-e4d2ff318f1e,Meeting,2025-04-10,kevin.malone@example.com,Parent buy away she senior improve relate TV.,Meeting regarding contact fowlerderek@example.com,,Completed,,,fowlerderek@example.com
ACT-c1eb1cb1-86ed-4bfd-9a77-a7ed4006b05f,Call,2023-06-13,kevin.malone@example.com,Under daughter kid rest production.,Call with contact alicebaker@example.org,Left Voicemail,,,,alicebaker@example.org
ACT-aec27492-68ef-4083-b794-828cb21cf4b2,Email,2024-02-15,michael.scott@example.com,Memory suggest newspaper name force whether writer.,,,,,,fhill@example.org
ACT-bd9e71f5-808b-446b-bebc-579e8a2483b5,Note,2023-08-12,pam.beesly@example.com,Until since industry.,,,,,,carrie98@example.org
ACT-caa45ebc-9eb6-485f-9fcb-3d85a9f2cb4d,Call,2022-11-12,angela.martin@example.com,Participant its rest maintain performance on.,Call with contact collinsmichael@example.net,Connected,,,,collinsmichael@example.net
ACT-1af96eed-e5d8-43c3-8902-eaaf6abb403c,Task,2024-12-29,pam.beesly@example.com,Want might through participant time clear bag.,Follow up task for contact bmiller@example.org,,,Not Started,2025-05-05,bmiller@example.org
ACT-e18d5ac8-f161-435a-a3e3-2a39b5120254,Task,2025-03-03,michael.scott@example.com,Technology argue data begin vote yard.,Follow up task for contact annpatterson@example.org,,,Waiting,2025-05-29,annpatterson@example.org
ACT-32b048b6-7122-44f1-86c3-535b8a733a2e,Meeting,2022-01-14,michael.scott@example.com,Feeling service total data.,Meeting regarding contact iwilliams@example.net,,Rescheduled,,,iwilliams@example.net
ACT-d41ab126-2171-45e9-a632-8d79a8ec3430,Note,2023-04-22,dwight.schrute@example.com,Anything course late field policy just field late. Nothing detail throughout sell employee program.,,,,,,vegaaaron@example.net
